occ_code,observed_exposure
11-1011,0.0333
11-1021,0.1378
11-1031,0.0
11-2011,0.1731
11-2021,0.3195
11-2022,0.0433
11-2032,0.2315
11-3012,0.0
11-3013,0.1345
11-3021,0.1559
11-3031,0.3907
11-3051,0.0132
11-3061,0.2004
11-3071,0.0956
11-3111,0.0
11-3121,0.0
11-3131,0.3777
11-9013,0.0
11-9021,0.1186
11-9031,0.0395
11-9032,0.0525
11-9033,0.0644
11-9041,0.0306
11-9051,0.0
11-9071,0.0
11-9081,0.1215
11-9111,0.0659
11-9121,0.0613
11-9131,0.0
11-9141,0.1653
11-9151,0.1808
11-9161,0.0
11-9171,0.0108
11-9179,0.1244
11-9199,0.0686
13-1011,0.118
13-1031,0.0818
13-1032,0.0
13-1041,0.1211
13-1051,0.0
13-1071,0.4034
13-1074,0.0
13-1075,0.0
13-1081,0.1571
13-1111,0.2435
13-1121,0.1023
13-1131,0.0466
13-1141,0.0649
13-1151,0.2793
13-1161,0.6483
13-1199,0.1846
13-2011,0.3478
13-2031,0.0672
13-2041,0.1685
13-2051,0.5716
13-2052,0.3504
13-2053,0.0625
13-2054,0.2649
13-2061,0.0428
13-2071,0.2341
13-2072,0.1857
13-2081,0.0275
13-2082,0.1283
13-2099,0.2202
15-1211,0.2763
15-1212,0.4859
15-1221,0.3404
15-1231,0.2867
15-1232,0.4685
15-1241,0.1987
15-1242,0.3315
15-1243,0.5787
15-1244,0.3373
15-1251,0.7451
15-1252,0.288
15-1253,0.5195
15-1254,0.4802
15-1255,0.249
15-1299,0.3106
15-2011,0.0539
15-2021,0.4241
15-2031,0.4288
15-2041,0.2107
15-2051,0.4605
15-2099,0.4793
17-1011,0.0784
17-1012,0.0
17-1021,0.08
17-1022,0.0022
17-2011,0.0753
17-2021,0.0
17-2031,0.1328
17-2041,0.0
17-2051,0.0081
17-2061,0.1453
17-2071,0.059
17-2072,0.0999
17-2081,0.0358
17-2111,0.0
17-2112,0.0367
17-2121,0.0358
17-2131,0.0
17-2141,0.0813
17-2151,0.0
17-2161,0.0
17-2171,0.0
17-2199,0.0659
17-3011,0.0
17-3012,0.0889
17-3013,0.0
17-3021,0.0
17-3022,0.0776
17-3023,0.0202
17-3024,0.0
17-3025,0.1029
17-3026,0.0
17-3027,0.0683
17-3029,0.0
17-3031,0.0
19-1011,0.0
19-1012,0.0
19-1013,0.0513
19-1021,0.0756
19-1022,0.0969
19-1023,0.0606
19-1029,0.2452
19-1031,0.0
19-1032,0.0
19-1041,0.0
19-1042,0.0381
19-2011,0.3849
19-2012,0.2727
19-2021,0.038
19-2031,0.2614
19-2032,0.1843
19-2041,0.0548
19-2042,0.043
19-2043,0.0748
19-2099,0.0379
19-3011,0.2418
19-3022,0.4316
19-3032,0.1577
19-3033,0.0591
19-3034,0.0467
19-3039,0.0
19-3041,0.3833
19-3051,0.0959
19-3091,0.1354
19-3092,0.1096
19-3093,0.028
19-3094,0.452
19-3099,0.0327
19-4012,0.0058
19-4013,0.2038
19-4021,0.0599
19-4031,0.3148
19-4042,0.1444
19-4043,0.229
19-4051,0.0
19-4061,0.4393
19-4071,0.0221
19-4092,0.0
19-4099,0.0955
19-5011,0.0
19-5012,0.0
21-1012,0.1182
21-1013,0.0
21-1015,0.0
21-1021,0.0074
21-1022,0.0916
21-1023,0.0
21-1091,0.1376
21-1092,0.0
21-1093,0.0
21-1094,0.0
21-2011,0.1116
21-2021,0.153
23-1011,0.1673
23-1012,0.1704
23-1021,0.3048
23-1022,0.2426
23-1023,0.3109
23-2011,0.2927
23-2093,0.0216
25-1011,0.3072
25-1021,0.2414
25-1022,0.4305
25-1031,0.0
25-1032,0.3589
25-1041,0.0
25-1042,0.2914
25-1043,0.0206
25-1051,0.0396
25-1052,0.2185
25-1053,0.0232
25-1054,0.0
25-1061,0.0236
25-1062,0.0
25-1063,0.0
25-1064,0.0
25-1065,0.0
25-1066,0.3219
25-1067,0.0
25-1071,0.3045
25-1072,0.1909
25-1081,0.2621
25-1082,0.018
25-1111,0.0
25-1112,0.0
25-1113,0.0
25-1121,0.2142
25-1122,0.2111
25-1123,0.3618
25-1124,0.2403
25-1125,0.0994
25-1126,0.2197
25-1192,0.0
25-1193,0.1138
25-1194,0.1563
25-2011,0.0
25-2012,0.0
25-2021,0.103
25-2022,0.2972
25-2023,0.0
25-2031,0.2901
25-2032,0.0
25-2051,0.0058
25-2057,0.134
25-2058,0.0989
25-2059,0.0257
25-3011,0.0636
25-3021,0.0662
25-3041,0.4077
25-4011,0.1348
25-4012,0.4123
25-4013,0.0
25-4022,0.2032
25-4031,0.054
25-9021,0.0
25-9031,0.3043
25-9044,0.1002
27-1011,0.2098
27-1012,0.0539
27-1013,0.3565
27-1014,0.3571
27-1021,0.0437
27-1022,0.0568
27-1023,0.0
27-1024,0.3672
27-1025,0.0
27-1026,0.0
27-1027,0.0
27-2011,0.1011
27-2012,0.092
27-2021,0.0
27-2022,0.0
27-2023,0.0
27-2031,0.0
27-2032,0.0801
27-2041,0.0368
27-2042,0.0
27-3011,0.0634
27-3023,0.2098
27-3031,0.453
27-3041,0.246
27-3042,0.4747
27-3043,0.2462
27-3091,0.4304
27-3092,0.3431
27-4011,0.0173
27-4012,0.0197
27-4014,0.0
27-4021,0.195
27-4031,0.1651
27-4032,0.2234
29-1011,0.0
29-1021,0.0309
29-1022,0.0
29-1023,0.0
29-1024,0.0
29-1031,0.1328
29-1041,0.0
29-1051,0.0896
29-1071,0.0
29-1081,0.0
29-1122,0.008
29-1123,0.0174
29-1124,0.0
29-1125,0.0
29-1126,0.0
29-1127,0.0
29-1128,0.0
29-1129,0.0402
29-1131,0.0
29-1141,0.0595
29-1151,0.0
